Epoch,train_loss,train_acc,val_loss,val_acc
1,1.03,0.635,3.646,0.741
2,0.451,0.959,2.285,0.759
3,0.354,0.992,4.218,0.765
4,0.327,0.995,0.467,0.988
5,0.314,0.998,0.363,0.997
6,0.315,0.999,0.32,0.991
7,0.307,0.999,0.309,0.997
8,0.303,0.999,0.316,0.994
9,0.302,0.999,0.299,0.997
10,0.304,1.0,0.309,0.997
11,0.309,0.998,0.307,0.997
12,0.301,1.0,0.301,0.997
13,0.301,1.0,0.298,0.997
14,0.298,1.0,0.313,0.997
15,0.297,1.0,0.298,0.997
16,0.297,0.999,0.297,0.997
17,0.297,1.0,0.293,0.997
18,0.297,0.999,0.299,0.997
19,0.296,1.0,0.298,0.997
20,0.294,1.0,0.299,0.997
