Epoch,train_loss,train_acc,val_loss,val_acc
1,0.634,0.764,0.444,0.951
2,0.379,0.988,0.692,0.771
3,0.336,0.991,0.493,0.887
4,0.322,0.997,0.656,0.771
5,0.316,0.998,0.47,0.909
6,0.309,0.999,0.518,0.869
7,0.309,1.0,0.481,0.909
8,0.305,1.0,0.481,0.896
9,0.303,1.0,0.492,0.896
10,0.299,1.0,0.421,0.933
11,0.298,1.0,0.416,0.942
12,0.296,1.0,0.41,0.945
13,0.295,1.0,0.391,0.957
14,0.295,1.0,0.377,0.963
15,0.295,1.0,0.349,0.976
16,0.295,1.0,0.334,0.979
17,0.295,1.0,0.33,0.982
18,0.295,1.0,0.363,0.976
19,0.294,1.0,0.35,0.97
20,0.296,1.0,0.338,0.979
