,div_l,div_m,div_s,div_n
10001,음료,기능성음료,한방음료,한방음료
10002,음료,탄산음료,혼합탄산,혼합탄산
10003,음료,기능성음료,한방음료,한방음료
10004,음료,과채음료,과일음료,과일음료
10005,음료,냉장음료,냉장곡물견과음료,냉장곡물견과음료
10006,음료,냉장음료,냉장곡물견과음료,냉장곡물견과음료
10007,음료,과채음료,과일음료,과일음료
10008,음료,탄산수,플레인탄산수,플레인탄산수
10009,음료,탄산음료,혼합탄산,혼합탄산
10010,음료,탄산음료,혼합탄산,혼합탄산
10011,음료,커피음료,커피음료,커피음료
10012,음료,커피음료,커피음료,커피음료
10013,음료,탄산음료,혼합탄산,혼합탄산
10014,음료,탄산음료,혼합탄산,혼합탄산
10015,음료,기능성음료,비타민/에너지음료,비타민/에너지음료
10016,음료,탄산음료,혼합탄산,혼합탄산
10017,음료,커피음료,커피음료,커피음료
10018,음료,커피음료,커피음료,커피음료
10019,음료,탄산음료,사이다,사이다
10020,음료,차음료,전통차음료,전통차음료
10021,음료,과채음료,과일음료,과일음료
10022,음료,커피음료,커피음료,커피음료
10023,음료,과채음료,과일음료,과일음료
10024,음료,과채음료,과일음료,과일음료
10025,음료,커피음료,커피음료,커피음료
10026,음료,과채음료,어린이음료,어린이음료
10027,음료,탄산음료,콜라,콜라
10028,음료,과채음료,어린이음료,어린이음료
10029,음료,차음료,일반차음료,일반차음료
10030,음료,탄산음료,혼합탄산,혼합탄산
10031,음료,두유,일반두유,일반두유
10032,음료,탄산음료,혼합탄산,혼합탄산
10033,음료,탄산음료,혼합탄산,혼합탄산
10034,음료,탄산음료,콜라,콜라
10035,음료,과채음료,과일음료,과일음료
10036,음료,탄산음료,콜라,콜라
10037,음료,기능성음료,스포츠음료,스포츠음료
10038,음료,탄산음료,혼합탄산,혼합탄산
10039,음료,탄산음료,혼합탄산,혼합탄산
10040,음료,차음료,일반차음료,일반차음료
10041,음료,차음료,일반차음료,일반차음료
10042,음료,차음료,일반차음료,일반차음료
10043,음료,차음료,일반차음료,일반차음료
10044,음료,차음료,일반차음료,일반차음료
10045,음료,생수,일반생수,일반생수
10046,음료,생수,일반생수,일반생수
10047,음료,탄산음료,사이다,사이다
10050,음료,생수,일반생수,일반생수
10051,음료,탄산음료,콜라,콜라
10052,음료,탄산음료,혼합탄산,혼합탄산
10054,주류,기타주류,칵테일,칵테일
10055,음료,탄산음료,콜라,콜라
10056,음료,탄산음료,무알콜맥주,무알콜맥주
