code,name
10001,유어스광동어성초500ml
10002,해태썬키스트자몽소다350ML(PET)
10003,롯데고려홍삼180ML
10004,웅진초록꿀매실180ML
10005,웅진아침햇살500ML
10006,웅진아침햇살180ML
10007,썬키스트훼미리오렌지180ML
10008,코카씨그램플레인350ML
10009,일화)맥콜500ML
10010,롯데사랑초톡톡스파클링330ML
10011,조지아고티카빈티지블랙390ML
10012,칠성사이다_300ml
10013,해태갈배사이다355ML
10014,해태갈배사이다238ML
10015,롯데핫식스자몽250ML
10016,동아오츠카데미소다자몽250ML
10017,롯데칸타타아메리카노200ML
10018,롯데레쓰비175ML
10019,코카콜라)킨사이다185ML
10020,일화헛개꿀물175ML
10021,가야토마토농장180ML
10022,코카콜라조지아고티카빈티지블랙270ML
10023,롯데)콜드비타민플러스(포도)240ML
10024,해태썬키스트망고바나나220ML
10025,롯데칸타타카페모카(병)250ML
10026,롯데핑크퐁오렌지망고235ML
10027,코카콜라오리지널300ML
10028,코카쿠우포도300ML
10029,해태)결명자서리태차350ML
10030,코카콜라)더탄산애플민트450ML
10031,광동)알찬콩두유200ML
10032,롯데마운틴듀355ML
10033,코카환타포도250ML
10034,코카콜라제로250ML
10035,웅진내사랑사과180ML
10036,코카콜라)코카콜라350ML
10037,동아포카리스웨트500ML
10038,롯데밀키스500ML
10039,슈웹스레몬토닉350ML
10040,CJ)새싹보리410ML
10041,롯데잘빠진하루우엉차500ML
10042,롯데옥수수수염차500ML
10043,광동)옥수수수염차500ML
10044,동원시스템새벽헛개520ML
10045,신어산음료일화광천수500ML
10046,동아오츠카마신다미네랄워터500ML
10047,코카스프라이트500ML
10050,롯데아이시스200ML
10051,코카콜라)코카콜라오리지날테이스트245ml
10052,코카환타오렌지215ML
10054,순하리소다톡바나나355ML
10055,코카콜라355ML
10056,롯데클라우드클리어제로(캔)350ML
10057,롯데)밀러(캔)473ML
10058,카스라이트(캔)500ML
10059,한라산오리지널(병)360ML
10060,해태포키블루베리41G
10061,카카오닙스차500ML
10062,롯데)파머스주스바오렌지1L
10063,광동)힘찬하루헛개차1L
10064,칸타타더블드립원두커피900ML
