code,div_l,div_m,div_s,div_n,name,former_labels,labels
10092,과자,스낵,밀가루스낵,밀가루스낵,농심오징어집83G,88,0
10094,과자,스낵,옥수수스낵,옥수수스낵,크라운)콘초66G,90,1
10095,과자,스낵,옥수수스낵,옥수수스낵,농심바나나킥75G,91,2
10100,과자,껌류,기능성껌,기능성껌,롯데)자일리톨베타비타D용기86G,92,3
10107,과자,캔디,하드캔디,하드캔디,리콜라)리콜라스위스캔디크랜베리맛40G,97,4
10199,과자,스낵,밀가루스낵,밀가루스낵,스모키베이컨칩매콤불맛70G,168,5
10258,과자,비스킷,쿠키,쿠키,티포녹차쿠키,202,6
15033,과자,초콜렛,쉘초콜릿,쉘초콜릿,롯데ABC초코쿠키152G,254,7
15044,과자,비스킷,크래커,크래커,롯데야채크래커249G,265,8
15046,과자,비스킷,샌드,샌드,동서리츠샌드위치크래커치즈96G,267,9
15048,과자,비스킷,샌드,샌드,롯데)롯샌화이트크림깜뜨315G,269,10
15051,과자,전통과자,기타전통과자,기타전통과자,청우아꾸뿔레102G,272,11
15060,과자,스낵,쌀과자,쌀과자,퓨어잇핑거길쭉한양파스틱30G,280,12
15076,과자,비스킷,쿠키,크래커,오리온다이제통밀28_194G,289,13
15177,과자,스낵,야채스낵,야채스낵,(주)명성식품)홈플러스시그니처리얼느타리버섯칩23G,338,14
15178,과자,스낵,야채스낵,야채스낵,(주)명성식품)홈플러스시그니처리얼새송이버섯칩25G,339,15
15431,과자,초콜렛,쉘초콜릿,쉘초콜릿,홈플러스시그니쳐소프트초콜릿밀크100G,465,16
15626,과자,스낵,옥수수스낵,옥수수스낵,농심켈로그프링글스또띠아콘칩스파이시그린페퍼110G,519,17
15627,과자,스낵,과일스낵,과일스낵,유기농산유기농아로니아통통40G,520,18
15629,과자,스낵,야채스낵,야채스낵,빌그린통가든와사비완두콩90G,521,19
15630,과자,껌류,일반껌,일반껌,해태푹신푹신솜사탕껌달콤한딸기맛15G,522,20
15642,과자,스낵,쌀스낵,쌀스낵,프로엠무농약오곡블루베리스낵60G,534,21
15646,과자,스낵,야채스낵,야채스낵,선명농수산리얼칩양파칩80G,538,22
15648,과자,스낵,쌀스낵,쌀스낵,이마트노브랜드유기농쌀과자단호박55G,540,23
15654,과자,스낵,밀가루스낵,밀가루스낵,이마트피코크카스테라칩50G,546,24
15657,과자,스낵,밀가루스낵,밀가루스낵,이마트피코크초코프레첼80G,549,25
15658,과자,스낵,쌀스낵,쌀스낵,프로엠맘스케어유기농까까곡물과자13G,550,26
15660,과자,스낵,쌀스낵,쌀스낵,프로엠맘스케어유기농까까별과자15G,552,27
15661,과자,캔디,젤리,젤리,CJ쁘띠첼구미젤리포도50G,553,28
15662,과자,캔디,젤리,젤리,CJ쁘띠첼구미젤리복숭아50G,554,29
15663,과자,캔디,젤리,젤리,CJ쁘띠첼구미젤리레몬50G,555,30
15694,과자,전통과자,기타전통과자,기타전통과자,성진식품담미장찹쌀약과400G,565,31
15705,과자,기타,기타,기타,크라운포켓쵸코120G,570,32
15706,과자,비스킷,스틱과자,스틱과자,해태구운감자슬림240G,571,33
15708,과자,파이류,파이,파이,크라운빅파이딸기324G,573,34
15717,과자,유아식품,기타간식/안주형과자,기타간식/안주형과자,진주햄천하장사더블링콘_스윗치즈400G,579,35
15719,과자,스낵,과일스낵,쌀스낵,유기농산유기농현미로만든블루베리볼65G,581,36
15742,과자,스낵,감자스낵,감자스낵,오희숙전통부각찹쌀감자부각25G,600,37
15745,과자,스낵,감자스낵,감자스낵,신세계자주아삭함그대로감자스틱50G,603,38
15770,과자,씨리얼,일반시리얼,일반시리얼,오리온마켓오오_그래놀라야채330G,608,39
15788,과자,씨리얼,씨리얼바,씨리얼바,오리온마켓오오_그래놀라바무화과베리140G,617,40
