,일자,건고추_거래량(kg),건고추_가격(원/kg),깻잎_거래량(kg),깻잎_가격(원/kg),당근_거래량(kg),당근_가격(원/kg),대파_거래량(kg),대파_가격(원/kg),마늘_거래량(kg),마늘_가격(원/kg),무_거래량(kg),무_가격(원/kg),미나리_거래량(kg),미나리_가격(원/kg),배추_거래량(kg),배추_가격(원/kg),백다다기_거래량(kg),백다다기_가격(원/kg),새송이_거래량(kg),새송이_가격(원/kg),샤인머스캇_거래량(kg),샤인머스캇_가격(원/kg),시금치_거래량(kg),시금치_가격(원/kg),애호박_거래량(kg),애호박_가격(원/kg),양배추_거래량(kg),양배추_가격(원/kg),양파_거래량(kg),양파_가격(원/kg),얼갈이배추_거래량(kg),얼갈이배추_가격(원/kg),청상추_거래량(kg),청상추_가격(원/kg),토마토_거래량(kg),토마토_가격(원/kg),파프리카_거래량(kg),파프리카_가격(원/kg),팽이버섯_거래량(kg),팽이버섯_가격(원/kg),포도_거래량(kg),포도_가격(원/kg)
0,20160101,90.0,6233.333333333333,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,80.0,4880.000000000001
1,20160102,80.0,7387.5,2850.0,10975.017543859649,10680.0,569.6629213483146,22650.000000000004,1767.5496688741719,1500.0,3134.7999999999997,57640.0,423.6120749479528,14170.0,1741.9195483415665,33770.0,358.4838614154575,0.0,,0.0,,0.0,,3219.9999999999995,2541.9875776397516,8400.0,2295.404761904762,11730.0,342.0289855072464,11020.0,810.3448275862069,0.0,,1510.0,9838.807947019868,2700.0,1993.4814814814813,2080.0,3030.0000000000005,12480.0,1511.2500000000002,4350.0,3111.4942528735633
2,20160103,10.0,11000.0,2850.0,10975.017543859649,10680.0,569.6629213483146,22650.000000000004,1767.5496688741719,1500.0,3134.7999999999997,57640.0,423.6120749479528,14170.0,1741.9195483415665,33770.0,358.4838614154575,0.0,,0.0,,0.0,,3219.9999999999995,2541.9875776397516,8400.0,2295.404761904762,11730.0,342.0289855072464,11020.0,810.3448275862069,0.0,,1510.0,9838.807947019868,2700.0,1993.4814814814813,2080.0,3030.0000000000005,12480.0,1511.2500000000002,6859.999999999999,2627.0553935860057
3,20160104,80.0,4160.0,117810.0,9649.320940497411,592690.0,748.3250940626634,737839.9999999999,1728.0367017239514,30980.0,3786.9561007101356,1830519.9999999998,372.01762340755636,49440.00000000001,3782.5303398058245,1394949.9999999998,413.78995662926997,460430.0,2001.6087135938144,154459.99999999997,2430.2751521429495,0.0,,242640.00000000003,2208.0081602373884,479530.0,2199.5199466143927,883530.0000000001,366.52496236686915,1427020.0,1153.4522291208252,112250.00000000001,1156.684187082405,23260.000000000004,6957.639724849526,78300.0,2013.933588761175,52760.00000000001,5053.2183472327515,157590.0,1767.899612919601,88059.99999999999,3731.615943674767
4,20160105,90.0,4253.333333333334,92470.0,9482.422407267222,482250.0,750.3332296526698,607010.0,1736.8315184263852,25830.000000000004,3424.8703058459155,1706690.0,391.4403318704627,46050.00000000001,3348.2671009771984,1230970.0,406.05888039513553,308050.0,2111.04138938484,118730.0,2427.1970016002692,0.0,,192440.0,2256.1977759301603,354289.99999999994,2289.090011007932,821560.0000000001,372.05694045474456,1297110.0,1160.122271819661,74860.0,1112.1346513491849,19610.0,6717.526772055073,49400.00000000001,1911.3016194331983,50029.99999999999,5271.559064561264,151600.0,1790.0580474934036,71050.0,3458.3490499648137
5,20160106,10.0,5000.0,66880.00000000001,8547.36991626794,385520.0,747.7682091720274,495200.0,1698.0943053311792,25710.0,3014.2279268767015,1847040.0,406.80245148995147,40750.0,2838.8098159509204,1001700.0,408.9591694119996,134850.0,2387.553578049685,76530.0,2387.03122958317,0.0,,155260.0,2350.056679118897,191540.00000000003,2610.841599665866,777810.0000000001,365.2803383859811,1101130.0,1176.0872921453415,38190.0,1080.610107357947,15620.000000000002,5907.503201024327,39630.0,1877.8602069139538,42259.99999999999,5529.545669663985,143160.00000000003,1691.863649063984,54799.99999999999,3291.558394160584
6,20160107,170.0,6860.588235294117,163110.0,6990.380724664336,493419.99999999994,758.8036561144664,1335750.0,1622.816619876474,45720.0,3314.2125984251966,3097220.0000000005,425.5272793020837,47490.0,2677.4289324068227,1984270.0000000002,407.0746420598003,418260.0,2443.9300913307516,194240.0,2286.354509884679,0.0,,395680.0,2524.6385968459367,375260.0,2830.0149229867293,1513929.9999999998,361.8476415686327,2678000.0000000005,1222.51067961165,272310.0,1041.1714589989351,27109.999999999996,4543.836222796016,64110.000000000015,2143.7669630322875,63680.0,5445.254396984925,309500.0,1430.9344103392568,122400.0,2964.9395424836603
7,20160108,170.0,6929.411764705883,162719.99999999997,5681.646386430679,465399.99999999994,724.6697464546629,1318210.0,1613.017956167834,44940.0,2989.9554962171787,2969759.9999999995,416.4171515543344,45629.99999999999,2231.5559938636866,2021420.0,403.4199720988216,412620.0,2334.595511608744,189290.00000000003,2221.3740820962544,0.0,,390300.0,2423.831667947733,392280.0,2805.7866829815434,1487709.9999999998,340.1851167230173,2597660.0,1190.584526073466,267620.0,978.8147373141022,25910.0,3443.1763797761487,59840.0,2177.1758021390374,57910.00000000001,5953.408737696425,309850.0,1327.553332257544,93850.0,3296.381459776239
8,20160109,100.0,6395.0,84860.0,4999.005420692906,386210.00000000006,700.2102483105047,641750.0,1537.0596026490064,26850.000000000004,2391.4860335195526,2266250.0,368.5781798124656,44420.0,2297.6632147681225,987660.0000000001,371.25468278557395,203339.99999999997,2138.4110357037475,95580.00000000001,2238.442142707679,0.0,,192100.0,2357.7178552837067,238709.99999999997,2712.684009886473,804570.0,309.125868476329,1086180.0000000002,1182.330184683938,65980.0,891.0412246135193,18330.000000000004,3045.799236224768,53699.99999999999,2277.5605214152706,31319.999999999996,6371.954022988506,175200.0,1317.019406392694,41660.00000000001,3012.414786365818
9,20160110,120.00000000000001,6338.333333333333,103850.0,4735.903707270101,429240.00000000006,710.8030472462957,798360.0,1454.3173505686661,24510.0,2100.1346389228884,2676140.0,344.45944532049896,53710.0,2373.567305902067,964640.0,335.27637253275833,254760.0,1989.7672319045375,130230.00000000001,2260.734853720341,0.0,,226709.99999999997,2505.2167967888495,199440.0,2668.0094263939036,865590.0,283.3765408565256,1274560.0000000002,1190.6650922671352,94710.00000000001,845.4893886601202,23750.000000000004,2937.9115789473676,50690.0,2384.2138488853816,33680.0,6542.149643705463,209000.0,1268.8196172248806,40349.99999999999,2361.006195786865
10,20160111,10.0,10000.0,79789.99999999999,4910.933700965034,500260.0,735.8441610362612,622620.0,1350.7428286916581,29049.999999999996,3366.3407917383824,2141470.0,328.65372851359115,33570.0,2646.738159070599,1054090.0000000002,380.96775417658824,219380.0,2184.7223994894703,80359.99999999999,2348.330014932803,0.0,,176339.99999999997,2220.4298514233865,263659.99999999994,2668.1305469164836,741750.0000000001,304.48115942028977,915860.0,1140.4736531784333,49510.0,864.209250656433,16219.999999999998,2940.369913686807,57139.99999999999,2270.630031501575,33310.0,7581.374962473732,149299.99999999997,1358.5251172136639,51790.00000000001,3697.3991117976434
11,20160112,60.00000000000001,5533.333333333332,85640.00000000001,4894.760625875758,515309.99999999994,726.7392443383595,706830.0,1348.0241359308463,28680.0,2816.596931659693,2472339.9999999995,325.29498369965296,37540.0,3088.0873734683005,1034770.0000000002,390.4383582825169,218810.0,2151.9674603537314,107190.0,2289.538203190596,0.0,,221280.00000000003,2289.398047722342,271340.00000000006,2717.2289378639343,838600.0,311.4359647030766,1212279.9999999998,1120.3146137855945,65890.0,947.6855365002277,18440.0,2711.0845986984814,45340.0,2219.2523158359063,41629.99999999999,7494.624069180881,179750.0,1348.6987482614743,52470.0,3482.0125786163517
